コード,銘柄名,市場・商品区分,33業種区分,17業種区分
1301.T,極洋,東証プライム,水産・農林業,食品
1332.T,ニッスイ,東証プライム,水産・農林業,食品
1333.T,マルハニチロ,東証プライム,水産・農林業,食品
1375.T,ユキグニファクトリー,東証プライム,水産・農林業,食品
1377.T,サカタのタネ,東証プライム,水産・農林業,食品
1379.T,ホクト,東証プライム,水産・農林業,食品
1414.T,ショーボンドホールディングス,東証プライム,建設業,建設・資材
1417.T,ミライト・ワン,東証プライム,建設業,建設・資材
1419.T,タマホーム,東証プライム,建設業,建設・資材
1429.T,日本アクア,東証プライム,建設業,建設・資材
1433.T,ベステラ,東証プライム,建設業,建設・資材
1515.T,日鉄鉱業,東証プライム,鉱業,エネルギー資源
1518.T,三井松島ホールディングス,東証プライム,その他製品,情報通信・サービスその他
1605.T,ＩＮＰＥＸ,東証プライム,鉱業,エネルギー資源
1662.T,石油資源開発,東証プライム,鉱業,エネルギー資源
1663.T,Ｋ＆Ｏエナジーグループ,東証プライム,鉱業,エネルギー資源
167A.T,リョーサン菱洋ホールディングス,東証プライム,卸売業,商社・卸売
1719.T,安藤・間,東証プライム,建設業,建設・資材
1720.T,東急建設,東証プライム,建設業,建設・資材
1721.T,コムシスホールディングス,東証プライム,建設業,建設・資材
1726.T,ビーアールホールディングス,東証プライム,建設業,建設・資材
1762.T,高松コンストラクショングループ,東証プライム,建設業,建設・資材
1766.T,東建コーポレーション,東証プライム,建設業,建設・資材
1780.T,ヤマウラ,東証プライム,建設業,建設・資材
1786.T,オリエンタル白石,東証プライム,建設業,建設・資材
1801.T,大成建設,東証プライム,建設業,建設・資材
1802.T,大林組,東証プライム,建設業,建設・資材
1803.T,清水建設,東証プライム,建設業,建設・資材
1808.T,長谷工コーポレーション,東証プライム,建設業,建設・資材
1812.T,鹿島建設,東証プライム,建設業,建設・資材
1813.T,不動テトラ,東証プライム,建設業,建設・資材
1814.T,大末建設,東証プライム,建設業,建設・資材
1815.T,鉄建建設,東証プライム,建設業,建設・資材
1820.T,西松建設,東証プライム,建設業,建設・資材
1821.T,三井住友建設,東証プライム,建設業,建設・資材
1833.T,奥村組,東証プライム,建設業,建設・資材
1835.T,東鉄工業,東証プライム,建設業,建設・資材
1852.T,淺沼組,東証プライム,建設業,建設・資材
1860.T,戸田建設,東証プライム,建設業,建設・資材
1861.T,熊谷組,東証プライム,建設業,建設・資材
1870.T,矢作建設工業,東証プライム,建設業,建設・資材
1871.T,ピーエス・コンストラクション,東証プライム,建設業,建設・資材
1873.T,日本ハウスホールディングス,東証プライム,建設業,建設・資材
1878.T,大東建託,東証プライム,不動産業,不動産
1879.T,新日本建設,東証プライム,建設業,建設・資材
1882.T,東亜道路工業,東証プライム,建設業,建設・資材
1885.T,東亜建設工業,東証プライム,建設業,建設・資材
1887.T,日本国土開発,東証プライム,建設業,建設・資材
1888.T,若築建設,東証プライム,建設業,建設・資材
1890.T,東洋建設,東証プライム,建設業,建設・資材
1893.T,五洋建設,東証プライム,建設業,建設・資材
1898.T,世紀東急工業,東証プライム,建設業,建設・資材
1899.T,福田組,東証プライム,建設業,建設・資材
1911.T,住友林業,東証プライム,建設業,建設・資材
1925.T,大和ハウス工業,東証プライム,建設業,建設・資材
1926.T,ライト工業,東証プライム,建設業,建設・資材
1928.T,積水ハウス,東証プライム,建設業,建設・資材
1929.T,日特建設,東証プライム,建設業,建設・資材
1930.T,北陸電気工事,東証プライム,建設業,建設・資材
1934.T,ユアテック,東証プライム,建設業,建設・資材
1938.T,日本リーテック,東証プライム,建設業,建設・資材
1939.T,四電工,東証プライム,建設業,建設・資材
1941.T,中電工,東証プライム,建設業,建設・資材
1942.T,関電工,東証プライム,建設業,建設・資材
1944.T,きんでん,東証プライム,建設業,建設・資材
1945.T,東京エネシス,東証プライム,建設業,建設・資材
1946.T,トーエネック,東証プライム,建設業,建設・資材
1949.T,住友電設,東証プライム,建設業,建設・資材
1950.T,日本電設工業,東証プライム,建設業,建設・資材
1951.T,エクシオグループ,東証プライム,建設業,建設・資材
1952.T,新日本空調,東証プライム,建設業,建設・資材
1959.T,クラフティア,東証プライム,建設業,建設・資材
1961.T,三機工業,東証プライム,建設業,建設・資材
1963.T,日揮ホールディングス,東証プライム,建設業,建設・資材
1964.T,中外炉工業,東証プライム,建設業,建設・資材
1968.T,太平電業,東証プライム,建設業,建設・資材
1969.T,高砂熱学工業,東証プライム,建設業,建設・資材
1975.T,朝日工業社,東証プライム,建設業,建設・資材
1976.T,明星工業,東証プライム,建設業,建設・資材
1979.T,大氣社,東証プライム,建設業,建設・資材
1980.T,ダイダン,東証プライム,建設業,建設・資材
1982.T,日比谷総合設備,東証プライム,建設業,建設・資材
2001.T,ニップン,東証プライム,食料品,食品
2002.T,日清製粉グループ本社,東証プライム,食料品,食品
2004.T,昭和産業,東証プライム,食料品,食品
2053.T,中部飼料,東証プライム,食料品,食品
2060.T,フィード・ワン,東証プライム,食料品,食品
2108.T,日本甜菜製糖,東証プライム,食料品,食品
2109.T,ＤＭ三井製糖,東証プライム,食料品,食品
2117.T,ウェルネオシュガー,東証プライム,食料品,食品
2120.T,ＬＩＦＵＬＬ,東証プライム,サービス業,情報通信・サービスその他
2121.T,ＭＩＸＩ,東証プライム,情報・通信業,情報通信・サービスその他
2124.T,ジェイエイシーリクルートメント,東証プライム,サービス業,情報通信・サービスその他
2127.T,日本Ｍ＆Ａセンターホールディングス,東証プライム,サービス業,情報通信・サービスその他
212A.T,フィットイージー,東証プライム,サービス業,情報通信・サービスその他
2130.T,メンバーズ,東証プライム,サービス業,情報通信・サービスその他
2146.T,ＵＴグループ,東証プライム,サービス業,情報通信・サービスその他
2148.T,アイティメディア,東証プライム,サービス業,情報通信・サービスその他
2150.T,ケアネット,東証プライム,サービス業,情報通信・サービスその他
2153.T,Ｅ・Ｊホールディングス,東証プライム,サービス業,情報通信・サービスその他
2154.T,オープンアップグループ,東証プライム,サービス業,情報通信・サービスその他
2157.T,コシダカホールディングス,東証プライム,サービス業,情報通信・サービスその他
2163.T,アルトナー,東証プライム,サービス業,情報通信・サービスその他
2168.T,パソナグループ,東証プライム,サービス業,情報通信・サービスその他
2170.T,リンクアンドモチベーション,東証プライム,サービス業,情報通信・サービスその他
2175.T,エス・エム・エス,東証プライム,サービス業,情報通信・サービスその他
2181.T,パーソルホールディングス,東証プライム,サービス業,情報通信・サービスその他
2198.T,アイ・ケイ・ケイホールディングス,東証プライム,サービス業,情報通信・サービスその他
2201.T,森永製菓,東証プライム,食料品,食品
2206.T,江崎グリコ,東証プライム,食料品,食品
2207.T,ｍｅｉｔｏ,東証プライム,食料品,食品
2209.T,井村屋グループ,東証プライム,食料品,食品
2211.T,不二家,東証プライム,食料品,食品
2212.T,山崎製パン,東証プライム,食料品,食品
2217.T,モロゾフ,東証プライム,食料品,食品
2220.T,亀田製菓,東証プライム,食料品,食品
2222.T,寿スピリッツ,東証プライム,食料品,食品
2229.T,カルビー,東証プライム,食料品,食品
2264.T,森永乳業,東証プライム,食料品,食品
2266.T,六甲バター,東証プライム,食料品,食品
2267.T,ヤクルト本社,東証プライム,食料品,食品
2269.T,明治ホールディングス,東証プライム,食料品,食品
2270.T,雪印メグミルク,東証プライム,食料品,食品
2281.T,プリマハム,東証プライム,食料品,食品
2282.T,日本ハム,東証プライム,食料品,食品
2288.T,丸大食品,東証プライム,食料品,食品
2292.T,Ｓ　Ｆｏｏｄｓ,東証プライム,食料品,食品
2294.T,柿安本店,東証プライム,食料品,食品
2296.T,伊藤ハム米久ホールディングス,東証プライム,食料品,食品
2301.T,学情,東証プライム,サービス業,情報通信・サービスその他
2307.T,クロスキャット,東証プライム,情報・通信業,情報通信・サービスその他
2317.T,システナ,東証プライム,情報・通信業,情報通信・サービスその他
2325.T,ＮＪＳ,東証プライム,サービス業,情報通信・サービスその他
2326.T,デジタルアーツ,東証プライム,情報・通信業,情報通信・サービスその他
2327.T,日鉄ソリューションズ,東証プライム,情報・通信業,情報通信・サービスその他
2331.T,ＡＬＳＯＫ,東証プライム,サービス業,情報通信・サービスその他
2335.T,キューブシステム,東証プライム,情報・通信業,情報通信・サービスその他
2337.T,いちご,東証プライム,不動産業,不動産
2353.T,日本駐車場開発,東証プライム,不動産業,不動産
2359.T,コア,東証プライム,情報・通信業,情報通信・サービスその他
2371.T,カカクコム,東証プライム,サービス業,情報通信・サービスその他
2374.T,セントケア・ホールディング,東証プライム,サービス業,情報通信・サービスその他
2378.T,ルネサンス,東証プライム,サービス業,情報通信・サービスその他
2379.T,ディップ,東証プライム,サービス業,情報通信・サービスその他
2384.T,ＳＢＳホールディングス,東証プライム,陸運業,運輸・物流
2389.T,デジタルホールディングス,東証プライム,サービス業,情報通信・サービスその他
2395.T,新日本科学,東証プライム,サービス業,情報通信・サービスその他
2410.T,キャリアデザインセンター,東証プライム,サービス業,情報通信・サービスその他
2413.T,エムスリー,東証プライム,サービス業,情報通信・サービスその他
2429.T,ワールドホールディングス,東証プライム,サービス業,情報通信・サービスその他
2432.T,ディー・エヌ・エー,東証プライム,情報・通信業,情報通信・サービスその他
2433.T,博報堂ＤＹホールディングス,東証プライム,サービス業,情報通信・サービスその他
2440.T,ぐるなび,東証プライム,サービス業,情報通信・サービスその他
2445.T,タカミヤ,東証プライム,サービス業,情報通信・サービスその他
2461.T,ファンコミュニケーションズ,東証プライム,サービス業,情報通信・サービスその他
2462.T,ライク,東証プライム,サービス業,情報通信・サービスその他
2471.T,エスプール,東証プライム,サービス業,情報通信・サービスその他
2475.T,ＷＤＢホールディングス,東証プライム,サービス業,情報通信・サービスその他
2489.T,アドウェイズ,東証プライム,サービス業,情報通信・サービスその他
2491.T,バリューコマース,東証プライム,サービス業,情報通信・サービスその他
2492.T,インフォマート,東証プライム,サービス業,情報通信・サービスその他
2501.T,サッポロホールディングス,東証プライム,食料品,食品
2502.T,アサヒグループホールディングス,東証プライム,食料品,食品
2503.T,キリンホールディングス,東証プライム,食料品,食品
2531.T,宝ホールディングス,東証プライム,食料品,食品
2533.T,オエノンホールディングス,東証プライム,食料品,食品
2540.T,養命酒製造,東証プライム,食料品,食品
256A.T,飛島ホールディングス,東証プライム,建設業,建設・資材
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,東証プライム,食料品,食品
2585.T,ライフドリンク　カンパニー,東証プライム,食料品,食品
2587.T,サントリー食品インターナショナル,東証プライム,食料品,食品
2590.T,ダイドーグループホールディングス,東証プライム,食料品,食品
2593.T,伊藤園,東証プライム,食料品,食品
25935.T,伊藤園第１種優先株式,東証プライム,食料品,食品
2594.T,キーコーヒー,東証プライム,食料品,食品
2602.T,日清オイリオグループ,東証プライム,食料品,食品
2607.T,不二製油,東証プライム,食料品,食品
2613.T,Ｊ－オイルミルズ,東証プライム,食料品,食品
262A.T,インターメスティック,東証プライム,小売業,小売
2659.T,サンエー,東証プライム,小売業,小売
2664.T,カワチ薬品,東証プライム,小売業,小売
2670.T,エービーシー・マート,東証プライム,小売業,小売
2674.T,ハードオフコーポレーション,東証プライム,小売業,小売
2676.T,高千穂交易,東証プライム,卸売業,商社・卸売
2678.T,アスクル,東証プライム,小売業,小売
2681.T,ゲオホールディングス,東証プライム,小売業,小売
2685.T,アンドエスティＨＤ,東証プライム,小売業,小売
268A.T,リガク・ホールディングス,東証プライム,精密機器,電機・精密
2692.T,伊藤忠食品,東証プライム,卸売業,商社・卸売
2695.T,くら寿司,東証プライム,小売業,小売
2726.T,パルグループホールディングス,東証プライム,小売業,小売
2730.T,エディオン,東証プライム,小売業,小売
2733.T,あらた,東証プライム,卸売業,商社・卸売
2734.T,サーラコーポレーション,東証プライム,小売業,小売
2737.T,トーメンデバイス,東証プライム,卸売業,商社・卸売
2742.T,ハローズ,東証プライム,小売業,小売
2749.T,ＪＰホールディングス,東証プライム,サービス業,情報通信・サービスその他
2752.T,フジオフードグループ本社,東証プライム,小売業,小売
2753.T,あみやき亭,東証プライム,小売業,小売
2760.T,東京エレクトロン　デバイス,東証プライム,卸売業,商社・卸売
2767.T,円谷フィールズホールディングス,東証プライム,卸売業,商社・卸売
2768.T,双日,東証プライム,卸売業,商社・卸売
2784.T,アルフレッサ　ホールディングス,東証プライム,卸売業,商社・卸売
2791.T,大黒天物産,東証プライム,小売業,小売
2792.T,ハニーズホールディングス,東証プライム,小売業,小売
2801.T,キッコーマン,東証プライム,食料品,食品
2802.T,味の素,東証プライム,食料品,食品
2804.T,ブルドックソース,東証プライム,食料品,食品
2809.T,キユーピー,東証プライム,食料品,食品
2810.T,ハウス食品グループ本社,東証プライム,食料品,食品
2811.T,カゴメ,東証プライム,食料品,食品
2815.T,アリアケジャパン,東証プライム,食料品,食品
285A.T,キオクシアホールディングス,東証プライム,電気機器,電機・精密
2871.T,ニチレイ,東証プライム,食料品,食品
2874.T,横浜冷凍,東証プライム,卸売業,商社・卸売
2875.T,東洋水産,東証プライム,食料品,食品
2882.T,イートアンドホールディングス,東証プライム,食料品,食品
2884.T,ヨシムラ・フード・ホールディングス,東証プライム,食料品,食品
2897.T,日清食品ホールディングス,東証プライム,食料品,食品
2908.T,フジッコ,東証プライム,食料品,食品
2910.T,ロック・フィールド,東証プライム,食料品,食品
2914.T,日本たばこ産業,東証プライム,食料品,食品
2915.T,ケンコーマヨネーズ,東証プライム,食料品,食品
2918.T,わらべや日洋ホールディングス,東証プライム,食料品,食品
2922.T,なとり,東証プライム,食料品,食品
2929.T,ファーマフーズ,東証プライム,食料品,食品
2930.T,北の達人コーポレーション,東証プライム,化学,素材・化学
2931.T,ユーグレナ,東証プライム,食料品,食品
2933.T,紀文食品,東証プライム,食料品,食品
2935.T,ピックルスホールディングス,東証プライム,食料品,食品
2975.T,スター・マイカ・ホールディングス,東証プライム,不動産業,不動産
2980.T,ＳＲＥホールディングス,東証プライム,不動産業,不動産
2982.T,ＡＤワークスグループ,東証プライム,不動産業,不動産
3002.T,グンゼ,東証プライム,繊維製品,素材・化学
3003.T,ヒューリック,東証プライム,不動産業,不動産
3028.T,アルペン,東証プライム,小売業,小売
3031.T,ラクーンホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3034.T,クオールホールディングス,東証プライム,小売業,小売
3036.T,アルコニックス,東証プライム,卸売業,商社・卸売
3038.T,神戸物産,東証プライム,卸売業,商社・卸売
3040.T,ソリトンシステムズ,東証プライム,情報・通信業,情報通信・サービスその他
3046.T,ジンズホールディングス,東証プライム,小売業,小売
3048.T,ビックカメラ,東証プライム,小売業,小売
3050.T,ＤＣＭホールディングス,東証プライム,小売業,小売
3064.T,ＭｏｎｏｔａＲＯ,東証プライム,小売業,小売
3073.T,ＤＤグループ,東証プライム,小売業,小売
3076.T,あい　ホールディングス,東証プライム,卸売業,商社・卸売
3086.T,Ｊ．フロント　リテイリング,東証プライム,小売業,小売
3087.T,ドトール・日レスホールディングス,東証プライム,小売業,小売
3088.T,マツキヨココカラ＆カンパニー,東証プライム,小売業,小売
3091.T,ブロンコビリー,東証プライム,小売業,小売
3092.T,ＺＯＺＯ,東証プライム,小売業,小売
3093.T,トレジャー・ファクトリー,東証プライム,小売業,小売
3097.T,物語コーポレーション,東証プライム,小売業,小売
3099.T,三越伊勢丹ホールディングス,東証プライム,小売業,小売
3101.T,東洋紡,東証プライム,化学,素材・化学
3103.T,ユニチカ,東証プライム,繊維製品,素材・化学
3104.T,富士紡ホールディングス,東証プライム,繊維製品,素材・化学
3105.T,日清紡ホールディングス,東証プライム,電気機器,電機・精密
3106.T,倉敷紡績,東証プライム,繊維製品,素材・化学
3107.T,ダイワボウホールディングス,東証プライム,卸売業,商社・卸売
3109.T,シキボウ,東証プライム,繊維製品,素材・化学
3110.T,日東紡績,東証プライム,ガラス・土石製品,建設・資材
3116.T,トヨタ紡織,東証プライム,輸送用機器,自動車・輸送機
3132.T,マクニカホールディングス,東証プライム,卸売業,商社・卸売
3135.T,マーケットエンタープライズ,東証プライム,小売業,小売
3139.T,ラクト・ジャパン,東証プライム,卸売業,商社・卸売
3141.T,ウエルシアホールディングス,東証プライム,小売業,小売
3148.T,クリエイトＳＤホールディングス,東証プライム,小売業,小売
3150.T,グリムス,東証プライム,電気・ガス業,電力・ガス
3151.T,バイタルケーエスケー・ホールディングス,東証プライム,卸売業,商社・卸売
3153.T,八洲電機,東証プライム,卸売業,商社・卸売
3154.T,メディアスホールディングス,東証プライム,卸売業,商社・卸売
3156.T,レスター,東証プライム,卸売業,商社・卸売
3167.T,ＴＯＫＡＩホールディングス,東証プライム,卸売業,商社・卸売
3176.T,三洋貿易,東証プライム,卸売業,商社・卸売
3179.T,シュッピン,東証プライム,小売業,小売
3180.T,ビューティガレージ,東証プライム,卸売業,商社・卸売
3182.T,オイシックス・ラ・大地,東証プライム,小売業,小売
3183.T,ウイン・パートナーズ,東証プライム,卸売業,商社・卸売
3186.T,ネクステージ,東証プライム,小売業,小売
3191.T,ジョイフル本田,東証プライム,小売業,小売
3193.T,エターナルホスピタリティグループ,東証プライム,小売業,小売
3196.T,ホットランドホールディングス,東証プライム,小売業,小売
3197.T,すかいらーくホールディングス,東証プライム,小売業,小売
3198.T,ＳＦＰホールディングス,東証プライム,小売業,小売
3199.T,綿半ホールディングス,東証プライム,小売業,小売
3201.T,日本毛織,東証プライム,繊維製品,素材・化学
3221.T,ヨシックスホールディングス,東証プライム,小売業,小売
3231.T,野村不動産ホールディングス,東証プライム,不動産業,不動産
3232.T,三重交通グループホールディングス,東証プライム,不動産業,不動産
3245.T,ディア・ライフ,東証プライム,不動産業,不動産
3252.T,地主,東証プライム,不動産業,不動産
3276.T,ＪＰＭＣ,東証プライム,不動産業,不動産
3284.T,フージャースホールディングス,東証プライム,不動産業,不動産
3288.T,オープンハウスグループ,東証プライム,不動産業,不動産
3289.T,東急不動産ホールディングス,東証プライム,不動産業,不動産
3291.T,飯田グループホールディングス,東証プライム,不動産業,不動産
3302.T,帝国繊維,東証プライム,繊維製品,素材・化学
3315.T,日本コークス工業,東証プライム,石油・石炭製品,エネルギー資源
3333.T,あさひ,東証プライム,小売業,小売
3341.T,日本調剤,東証プライム,小売業,小売
3349.T,コスモス薬品,東証プライム,小売業,小売
3360.T,シップヘルスケアホールディングス,東証プライム,卸売業,商社・卸売
3371.T,ソフトクリエイトホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3382.T,セブン＆アイ・ホールディングス,東証プライム,小売業,小売
3387.T,クリエイト・レストランツ・ホールディングス,東証プライム,小売業,小売
3388.T,明治電機工業,東証プライム,卸売業,商社・卸売
3391.T,ツルハホールディングス,東証プライム,小売業,小売
3393.T,スターティアホールディングス,東証プライム,卸売業,商社・卸売
3395.T,サンマルクホールディングス,東証プライム,小売業,小売
3397.T,トリドールホールディングス,東証プライム,小売業,小売
3401.T,帝人,東証プライム,繊維製品,素材・化学
3402.T,東レ,東証プライム,繊維製品,素材・化学
3405.T,クラレ,東証プライム,化学,素材・化学
3407.T,旭化成,東証プライム,化学,素材・化学
3415.T,ＴＯＫＹＯ　ＢＡＳＥ,東証プライム,小売業,小売
3431.T,宮地エンジニアリンググループ,東証プライム,金属製品,建設・資材
3433.T,トーカロ,東証プライム,金属製品,建設・資材
3436.T,ＳＵＭＣＯ,東証プライム,金属製品,建設・資材
3443.T,川田テクノロジーズ,東証プライム,金属製品,建設・資材
3445.T,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,東証プライム,金属製品,建設・資材
3457.T,Ａｎｄ　Ｄｏホールディングス,東証プライム,不動産業,不動産
3465.T,ケイアイスター不動産,東証プライム,不動産業,不動産
3475.T,グッドコムアセット,東証プライム,不動産業,不動産
3480.T,ジェイ・エス・ビー,東証プライム,不動産業,不動産
3482.T,ロードスターキャピタル,東証プライム,不動産業,不動産
3484.T,イノベーションホールディングス,東証プライム,不動産業,不動産
3486.T,グローバル・リンク・マネジメント,東証プライム,不動産業,不動産
3496.T,アズーム,東証プライム,不動産業,不動産
3498.T,霞ヶ関キャピタル,東証プライム,不動産業,不動産
3501.T,ＳＵＭＩＮＯＥ,東証プライム,繊維製品,素材・化学
3539.T,ＪＭホールディングス,東証プライム,小売業,小売
3543.T,コメダホールディングス,東証プライム,卸売業,商社・卸売
3546.T,アレンザホールディングス,東証プライム,小売業,小売
3548.T,バロックジャパンリミテッド,東証プライム,小売業,小売
3549.T,クスリのアオキホールディングス,東証プライム,小売業,小売
3561.T,力の源ホールディングス,東証プライム,小売業,小売
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,東証プライム,小売業,小売
3569.T,セーレン,東証プライム,繊維製品,素材・化学
3580.T,小松マテーレ,東証プライム,繊維製品,素材・化学
3591.T,ワコールホールディングス,東証プライム,繊維製品,素材・化学
3593.T,ホギメディカル,東証プライム,繊維製品,素材・化学
3608.T,ＴＳＩホールディングス,東証プライム,繊維製品,素材・化学
3612.T,ワールド,東証プライム,繊維製品,素材・化学
3626.T,ＴＩＳ,東証プライム,情報・通信業,情報通信・サービスその他
3632.T,グリーホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3635.T,コーエーテクモホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3636.T,三菱総合研究所,東証プライム,情報・通信業,情報通信・サービスその他
3649.T,ファインデックス,東証プライム,情報・通信業,情報通信・サービスその他
3655.T,ブレインパッド,東証プライム,情報・通信業,情報通信・サービスその他
3656.T,ＫＬａｂ,東証プライム,情報・通信業,情報通信・サービスその他
3657.T,ポールトゥウィンホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3659.T,ネクソン,東証プライム,情報・通信業,情報通信・サービスその他
3660.T,アイスタイル,東証プライム,情報・通信業,情報通信・サービスその他
3661.T,エムアップホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3662.T,エイチームホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3663.T,セルシス,東証プライム,情報・通信業,情報通信・サービスその他
3665.T,エニグモ,東証プライム,情報・通信業,情報通信・サービスその他
3668.T,コロプラ,東証プライム,情報・通信業,情報通信・サービスその他
3673.T,ブロードリーフ,東証プライム,情報・通信業,情報通信・サービスその他
3675.T,クロス・マーケティンググループ,東証プライム,情報・通信業,情報通信・サービスその他
3676.T,デジタルハーツホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3678.T,メディアドゥ,東証プライム,情報・通信業,情報通信・サービスその他
3679.T,じげん,東証プライム,情報・通信業,情報通信・サービスその他
3681.T,ブイキューブ,東証プライム,情報・通信業,情報通信・サービスその他
3687.T,フィックスターズ,東証プライム,情報・通信業,情報通信・サービスその他
3688.T,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,東証プライム,情報・通信業,情報通信・サービスその他
368A.T,北里コーポレーション,東証プライム,精密機器,電機・精密
3694.T,オプティム,東証プライム,情報・通信業,情報通信・サービスその他
3696.T,セレス,東証プライム,情報・通信業,情報通信・サービスその他
3697.T,ＳＨＩＦＴ,東証プライム,情報・通信業,情報通信・サービスその他
3708.T,特種東海製紙,東証プライム,パルプ・紙,素材・化学
3741.T,セック,東証プライム,情報・通信業,情報通信・サービスその他
3762.T,テクマトリックス,東証プライム,情報・通信業,情報通信・サービスその他
3763.T,プロシップ,東証プライム,情報・通信業,情報通信・サービスその他
3765.T,ガンホー・オンライン・エンターテイメント,東証プライム,情報・通信業,情報通信・サービスその他
3769.T,ＧＭＯペイメントゲートウェイ,東証プライム,情報・通信業,情報通信・サービスその他
3771.T,システムリサーチ,東証プライム,情報・通信業,情報通信・サービスその他
3774.T,インターネットイニシアティブ,東証プライム,情報・通信業,情報通信・サービスその他
3778.T,さくらインターネット,東証プライム,情報・通信業,情報通信・サービスその他
3788.T,ＧＭＯグローバルサイン・ホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3817.T,ＳＲＡホールディングス,東証プライム,情報・通信業,情報通信・サービスその他
3834.T,朝日ネット,東証プライム,情報・通信業,情報通信・サービスその他
3835.T,ｅＢＡＳＥ,東証プライム,情報・通信業,情報通信・サービスその他
3836.T,アバントグループ,東証プライム,情報・通信業,情報通信・サービスその他
3837.T,アドソル日進,東証プライム,情報・通信業,情報通信・サービスその他
3843.T,フリービット,東証プライム,情報・通信業,情報通信・サービスその他
3844.T,コムチュア,東証プライム,情報・通信業,情報通信・サービスその他
3853.T,アステリア,東証プライム,情報・通信業,情報通信・サービスその他
3854.T,アイル,東証プライム,情報・通信業,情報通信・サービスその他
3861.T,王子ホールディングス,東証プライム,パルプ・紙,素材・化学
3863.T,日本製紙,東証プライム,パルプ・紙,素材・化学
3864.T,三菱製紙,東証プライム,パルプ・紙,素材・化学
3865.T,北越コーポレーション,東証プライム,パルプ・紙,素材・化学
3877.T,中越パルプ工業,東証プライム,パルプ・紙,素材・化学
3880.T,大王製紙,東証プライム,パルプ・紙,素材・化学
3901.T,マークラインズ,東証プライム,情報・通信業,情報通信・サービスその他
